Date,Message
28.11.2024 15:24:16 UTC+03:00,"⚠️ИНФОРМАЦИЯ ⚠️ОБЯЗАТЕЛЬНО К ПРОЧТЕНИЮМы не позиционируем себя как предыдущих создателей сплетниц! У нас нету информации почему прошлый канал удалили. Мы лишь создали альтернативу, так как не довольны закрытием старого канала! Мы понимаем админа и хотим, чтобы его дело жило дальше!⚠️ДИСКЛЕЙМЕР⚠️📍 Все совпадения с реальными людьми случайны.📍 Все события выдуманы.‼️ПРАВИЛА‼️1.Сливы людей выкладываться не будут!2.Постарайтесь не ссорится в чате.3.Если вас задевает какой либо пост то напишите об этом в анонимку.4. Выкладываю посты в свободное время, ненадо спамить в анонимку с вопросами ""Почему не выкладываешь пост?"", ""Где мой пост?"".5. В канале не будет рекламы чего-либо не связанного со школой.6. Мы можем не выкладывать пост не указывая причин.🔗ССЫЛКИ🔗Канал для знакомств:https://t.me/znakomstva1474Анонимка:http://t.me/anonaskbot?start=u6hg0Чат:https://t.me/+yw_6Z5RP7-wxYmU6Приглашение:https://t.me/+-_heDIeF5a5lZGJi"
28.11.2024 16:16:17 UTC+03:00,Кидайте ссылку в свои телеграм каналы
28.11.2024 16:40:10 UTC+03:00,BROS TEAM лучшие ❤️
28.11.2024 16:46:59 UTC+03:00,‼️СТАРЫЙ КАНАЛ УДАЛЁН‼️
28.11.2024 16:54:49 UTC+03:00,
28.11.2024 17:07:46 UTC+03:00,ура 100 подписчиков!
28.11.2024 17:16:27 UTC+03:00,как у кого дела??
28.11.2024 19:07:13 UTC+03:00,
28.11.2024 22:24:45 UTC+03:00,"йов йов, кроме саида в школе чеченцы есть?"
28.11.2024 23:57:41 UTC+03:00,страх в школе номер 1
29.11.2024 00:12:15 UTC+03:00,Скиньте в анонимку или под этим постом варианты аватарок для канала если вам не сложно
29.11.2024 00:19:25 UTC+03:00,
29.11.2024 00:19:31 UTC+03:00,ставить?
29.11.2024 09:10:37 UTC+03:00,у кого нибудь уже была самостоятельная по формулам по физике?
29.11.2024 09:11:43 UTC+03:00,Админ Даун не хочет постить пизду с брос Тимом
29.11.2024 11:17:01 UTC+03:00,"я знаю админа, это Гоша Хомяков"
29.11.2024 11:29:56 UTC+03:00,"10д в атриуме выступает, все сюда"
29.11.2024 11:32:21 UTC+03:00,Меня зачали по абаюдненькому🤙🤙🤙 согласию
29.11.2024 12:32:26 UTC+03:00,Продаю учебник на 4 этаже
29.11.2024 13:10:45 UTC+03:00,
29.11.2024 13:10:59 UTC+03:00,челики из нашей школы в канале екатерины мизулины🤯
29.11.2024 13:25:56 UTC+03:00,обед на следующей перемене
29.11.2024 13:30:24 UTC+03:00,ууу а вона супер мен
29.11.2024 14:05:45 UTC+03:00,
29.11.2024 15:59:18 UTC+03:00,что только что был за звук очень громкий? как хлопок или взрыв
29.11.2024 16:35:44 UTC+03:00,https://t.me/c/2455368652/41Орешник прилетел
29.11.2024 17:00:37 UTC+03:00,
29.11.2024 17:42:04 UTC+03:00,
29.11.2024 18:56:23 UTC+03:00,
